Sentence Text	Check-worthy Probability	Actual Label
Now, I don't think President Obama and Vice President Biden get the credit they deserve for saving us from the worst economic crisis of our lifetimes.	0.010172352196201414	0
And we will stand up against mean and divisive rhetoric wherever it comes from.	0.0032014415808495427	0
Our country needs your ideas, energy and passion.	0.10690076419335381	0
Some of you are frustrated — even furious.	0.005457164548820935	0
I alone can fix it?	0.40619545376809485	0
When people hear those words, they hear America.	0.07499619076966028	0
Like so much else in my life, I got this from my mother too.	0.006832444456604241	0
Isn't he forgetting?	0.20535655928856997	0
And here's what I believe.	0.09613987127631994	0
Now, sometimes, sometimes the people at this podium are new to the national stage.	0.021974039466535693	0
And Chelsea, thank you.	0.0011665891814359379	0
And in the end, it comes down to what Donald Trump doesn't get: that America is great — because America is good.	0.04101649490314682	0
Well, we heard Donald Trump's answer last week at his convention.	0.19043106009779043	0
There's too much inequality.	0.031716595758251136	0
"""The truth is, through all these years of public service, the """"service"""" part has always come easier to me than the """"public"""" part."""	0.11888308861191728	0
Then somehow, they began listening to each other, compromising, finding common purpose.	0.020692346776964094	0
I know, I know because I've seen it in the lives of people across America who get knocked down and get right back up.	0.004437654377851023	0
And if you give me the chance, that's what I'll do as president.	0.005152531761355729	0
But too many aren't.	0.007625984341408209	0
And she was right.	0.08385909813909075	0
We have the most dynamic and diverse people in the world.	0.010428382172871772	0
On Tuesday night, I was so happy to see that my explainer-in-chief is still on the job.	0.013121988558025391	0
That is the story of America.	0.01536071316609741	0
If you believe the minimum wage should be a living wage, and no one working full time should have to raise their children in poverty, join us.	0.004596429531012727	0
Thank you.	0.00294595648963973	0
Let's look to the future with courage and confidence.	0.008309797987658322	0
America needs every one of us to lend our energy, our talents, our ambition to making our nation better and stronger.	0.025421679745205046	0
I believe that when we have millions of hardworking immigrants contributing to our economy, it would be self-defeating and inhumane to try to kick them out.	0.015018657326374155	0
Way too many dreams die in the parking lots of banks.	0.006387541685973064	0
Two-hundred-and-forty years later, we still put our faith in each other.	0.023726050741688317	0
So let's be stronger together, my fellow Americans.	0.021627400121063203	0
"""When I tried to hide from a neighborhood bully, she literally blocked the door."""""""	0.02136265607656505	0
Keeping our nation safe and honoring the people who do that work will be my highest priority.	0.053398530807878146	0
He wants to divide us from the rest of the world, and from each other.	0.0024953392423710677	0
Our military is a national treasure.	0.1505865159861634	0
"""That's why """"Stronger Together"""" is not just a lesson from our history."""	0.0584414103295279	0
None of us can raise a family, build a business, heal a community or lift a country totally alone.	0.10771741965909291	0
In America, if you can dream it, you should be able to build it.	0.016274934575075284	0
And I couldn't stop thinking of my mother and what she'd gone through as a child.	0.02179794988333696	0
And he was right.	0.15610055869713027	0
It won't be easy or quick, but make no mistake — we will prevail.	0.008634579978291009	0
Will we stay true to that motto?	0.04307427661666244	0
But just look for a minute at the strengths we bring as Americans to meet these challenges.	0.011736187687057191	0
And first lady Michelle Obama reminded us that our children are watching, and the president we elect is going to be their president, too.	0.0034156273587239994	0
We should be so proud that those words are associated with us.	0.008082457371458684	0
We lost our mother a few years ago, but I miss her every day.	0.030818814342031216	0
My mother, Dorothy, was abandoned by her parents as a young girl.	0.0314227756993079	1
He was wearing a full body brace that must have weighed 40 pounds, because I leaned over to lift him up.	0.5630029074052144	0
America is stronger because of President Obama's leadership, and I'm better because of his friendship.	0.47513756386609407	0
Because it's not just a detail if it's your kid — if it's your family.	0.6303631376905019	0
They had courage.	0.08175882658121937	0
You know, anyone, anyone reading the news can see the threats and turbulence we face.	0.024810747143897045	0
I refuse to believe we can't find common ground here.	0.1607754989188061	0
There's a lot of work to do.	0.052398290754955515	0
Immigration.	0.7729491838605232	0
When representatives from 13 unruly colonies met just down the road from here, some wanted to stick with the king.	0.014056596999343498	0
Donald Trump says he wants to make America great again — well, he could start by actually making things in America again.	0.2872222035571298	0
When he's gotten a tough question from a reporter.	0.05807889885477921	0
You've put economic and social justice issues front and center, where they belong.	0.02680225639689457	0
The lesson she passed on to me, years later, stuck with me: No one gets through life alone.	0.019237763682213617	0
That's the future we're working toward.	0.011257323777703814	0
Children like Ryan kept me going when our plan for universal health care failed and kept me working with leaders of both parties to help create the Children's Health Insurance Program that covers 8 million kids in our country.	0.0375589862400002	1
You do it step-by-step, year-by-year, sometimes even door-by-door.	0.019453295971438356	0
We have the most tolerant and generous young people we've ever had.	0.01402306715400002	0
He's forgetting every last one of us.	0.11271482855427906	0
And to all of your supporters here and around the country: I want you to know, I've heard you.	0.0037280791295630092	0
How are you going to break through the gridlock in Washington?	0.021206833996702246	0
Or said that an American judge couldn't be fair because of his Mexican heritage.	0.44366310182565927	0
But even more important than the history we make tonight, is the history we will write together in the years ahead.	0.01567501633512008	0
Too little social mobility.	0.0523792675948877	0
"""They thought he couldn't possibly mean all the horrible things he says — like when he called women """"pigs."""" """	0.23828668209612877	0
Because he believed that if he gave everything he had, his children would have a better life than he did.	0.48336231359456233	0
Thank you.	0.00294595648963973	0
That took courage.	0.5992197960766855	0
The Founders showed us that.	0.008261296735037473	0
You might have noticed, I love talking about mine.	0.07032790617611347	0
That's why we need to appoint Supreme Court justices who will get money out of politics and expand voting rights, not restrict them.	0.0560418335398696	0
None of us ever have or can do it alone.	0.06367575014121157	0
After the four days of this convention, you've seen some of the people who've inspired me.	0.03054140864847688	0
That's the same sales pitch he made to all those small businesses.	0.26221835766876095	0
